broad_category_slug,sub_category,micro_niche,my_fit,content_fit,logistics_risk,compliance_risk,selection_mode,selection_note,starter_keywords
beauty-personal-care,Foundation and base makeup,Face powder and stick foundation,high,4,1,1,video_search,Base makeup products need a dedicated catch-all row,foundation|bedak asas|stick foundation|cream foundation|compact powder|powder cake|matte stick
beauty-personal-care,Fragrance extras,Body perfume and pheromone scents,high,4,1,1,video_search,Body fragrance variants and pheromone-style products need a direct lane,body perfume|body spray|minyak wangi badan|pherowomen|spice me up|phero|perfume badan
beauty-personal-care,Wellness aids,Nasal strips and breathing care,low,2,1,2,search_only,Nasal strips and breathing aids were left unmapped,nasal strips|nose strip|congestion|rhinitis|snore|breathing strip
food-beverages,Instant meals,Spaghetti and instant pasta,high,4,2,4,video_search,Misspelled spaghetti titles and brand variants need their own lane,spaghetti|spageti|wow spaghetti|mayora|carbonara|bolognese|instant pasta
food-beverages,Sweets and baked snacks,Cookies and soft bakes,medium,4,1,3,video_search,Cookie and soft-bake titles should not sit in unmapped,cookies|biskut|soft cookies|cookie|biskut lembut|gebu|cair dimulut
food-beverages,Tea and herbal drinks,Tea powder and taufufa mix,medium,3,1,5,search_review,Taufufa and herbal powder products need a second catch-all lane,teh|tea|halba|taufufa|tau fu fa|serbuk segera|herbal
home-supplies,Rainwear,Raincoats and rain pants,low,2,1,1,search_only,Rainwear showed up in home-supplies and should be mapped,raincoat|rain jacket|baju hujan|rain pants|motorcycle raincoat|raincoats
home-supplies,Decor and ritual items,Candles and deepam,low,2,1,1,search_only,Candles and ritual lamps need a decorative bucket,candle|vilaku|deepam|kartigai|lampu minyak
home-supplies,Storage accessories,Trash bags and storage bags,medium,3,1,1,search_bundle,Trash bag and storage bag items are practical home supply buys,trash bag|drawstring trash bag|garbage bag|waste bag|bin liner|plastic bag
home-supplies,Decor and storage,Money boxes and savings boxes,low,2,1,1,search_only,Money box and storage gift items are a separate pattern,money box|piggy bank|tabung|savings box|wooden tray|counter
home-supplies,Party supplies,Snack cups and disposable cups,low,2,1,1,search_only,Popcorn cups and snack cups are packaging/party utilities,popcorn cup|paper cup|snack cup|disposable cup|party cup
muslim-fashion,Modest dresses,Abaya and dress silhouettes,medium,4,2,1,video_live,Long dresses and brand-name modest fashion need a dedicated row,dress|abaya|madonna|heritage|kaftan|long dress|modest dress
sports-outdoors,Training tops,Sweatshirts and active blouses,medium,4,1,1,video_live,Sweatshirts and blouse-style sport tops were still unmapped,sweatshirt|cotton plain sweatshirt|blaus wanita|polo|blouse|sports top
textiles,Support pillows,Posture cushions and bolster pillows,medium,3,2,1,search_bundle,Posture and bolster items are a distinct textile segment,kusyen|cushion|bantal peluk|bantal guling|bantal golek|support pillow|lumbar|ergonomic
textiles,Curtain accessories,Hooks rings and velcro tape,medium,3,1,1,search_bundle,Curtain hardware and accessories need their own lane,langsir|curtain|ring|hook|velcro|cabinet curtain|drapery
textiles,Carpets and mats,Carpet and rug mats,medium,3,2,1,search_only,Carpet and rug titles are still common in the textiles bucket,karpet|carpet|rug|mat|tatami|floor mat
textiles,Alteration accessories,Hemming tape and clothing repair,low,2,1,1,search_only,Alteration products belong in textiles,hemming tape|pita pelekat|shorten|seluar|jeans|modification|tailor
textiles,Light pillows,Inflatable and travel pillows,low,2,1,1,search_only,Inflatable pillows and travel pillows need a small lane,inflatable pillow|air pillow|travel pillow|bantal angin
textiles,Repair hardware,Connectors screws and pulleys,low,1,1,1,search_only,Hardware repair bits and connectors were showing up in textile results,connectors|screws|pulley|hardware|replacement
textiles,Travel pillows,Inflatable and air pillows,low,2,1,1,search_only,Travel pillows and inflatable pillows were the final textile unmapped cluster,inflatable pillow|air pillow|travel pillow|bantal angin|bantal udara
textiles,Fabric and materials,Thick fabric and textile upgrades,low,2,1,1,search_only,Some textile listings are basically fabric/material upgrades rather than a product shape,fabric|material|thick fabric|extra thick|set kilang|cotton polyester|fabric lebih tebal
womenswear,Socks and hosiery,Women socks and basics,medium,3,1,1,search_bundle,Some MY womenswear winners are actually sock-led basics,stokin|socks wanita|hosiery
womenswear,Blouses and shirts,Linen and waffle blouses,medium,4,1,1,video_live,Blouses and linen tops were common unmapped womenswear items,blouse|linen|waffle blouse|kemeja
womenswear,Jeans and denim,Wide-leg and baggy jeans,medium,3,2,1,video_live,Denim and wide-leg pants need a direct mapping row,jeans|denim|baggy jeans|wide leg
